"X","p_vec","gamma_vec","beta_vec","Lik_vec","job_vec"
1,0.26,0.0513411389118456,0.00182,-192.95428259039,1
2,0.26,0.0513411389118456,0.001822,-192.48789368526,1
3,0.26,0.0513411389118456,0.001824,-192.031940195804,1
4,0.26,0.0513411389118456,0.001826,-191.58629700069,1
5,0.26,0.0513411389118456,0.001828,-191.150842526046,1
6,0.26,0.0513411389118456,0.00183,-190.725458498662,1
7,0.26,0.0513411389118456,0.001832,-190.31002978251,1
8,0.26,0.0513411389118456,0.001834,-189.904444199364,1
9,0.26,0.0513411389118456,0.001836,-189.508592322484,1
10,0.26,0.0513411389118456,0.001838,-189.122367364206,1
11,0.26,0.0513411389118456,0.00184,-188.745665018126,1
12,0.26,0.0513411389118456,0.001842,-188.378383330755,1
13,0.26,0.0513411389118456,0.001844,-188.020422607888,1
14,0.26,0.0513411389118456,0.001846,-187.671685246935,1
15,0.26,0.0513411389118456,0.001848,-187.332075714287,1
16,0.26,0.0513411389118456,0.00185,-187.001500373054,1
17,0.26,0.0513411389118456,0.001852,-186.68058300383,1
18,0.26,0.0513411389118456,0.001854,-186.368533441363,1
19,0.26,0.0513411389118456,0.001856,-186.065250179158,1
20,0.26,0.0513411389118456,0.001858,-185.770646541524,1
21,0.26,0.0513411389118456,0.00186,-185.484637361181,1
22,0.26,0.0513411389118456,0.001862,-185.207852802877,1
23,0.26,0.0513411389118456,0.001864,-184.939917760963,1
24,0.26,0.0513411389118456,0.001866,-184.680335268157,1
25,0.26,0.0513411389118456,0.001868,-184.429025821603,1
1,0.261,0.0513785097556225,0.00187,-184.100965436517,10
2,0.261,0.0513785097556225,0.001872,-183.867766665681,10
3,0.261,0.0513785097556225,0.001874,-183.642641668965,10
4,0.261,0.0513785097556225,0.001876,-183.42551530633,10
5,0.261,0.0513785097556225,0.001878,-183.216313558377,10
6,0.261,0.0513785097556225,0.00188,-183.014963489956,10
7,0.261,0.0513785097556225,0.001882,-182.821393218282,10
8,0.261,0.0513785097556225,0.001884,-182.635531880142,10
9,0.261,0.0513785097556225,0.001886,-182.457309596943,10
10,0.261,0.0513785097556225,0.001888,-182.28665744996,10
11,0.261,0.0513785097556225,0.00189,-182.123507442155,10
12,0.261,0.0513785097556225,0.001892,-181.967792486635,10
13,0.261,0.0513785097556225,0.001894,-181.819446366273,10
14,0.261,0.0513785097556225,0.001896,-181.678403715987,10
15,0.261,0.0513785097556225,0.001898,-181.544599997619,10
16,0.261,0.0513785097556225,0.0019,-181.417971481528,10
17,0.261,0.0513785097556225,0.001902,-181.298455219472,10
18,0.261,0.0513785097556225,0.001904,-181.185989029857,10
19,0.261,0.0513785097556225,0.001906,-181.080511475943,10
20,0.261,0.0513785097556225,0.001908,-180.981961836841,10
21,0.261,0.0513785097556225,0.00191,-180.890280118211,10
