"kvalue","Pk"
0,0
1,0.511218338629436
2,0.15325518596586
3,0.0757474331117403
4,0.0459434849078357
5,0.0311741035327026
6,0.0227078844219456
7,0.0173709234823758
8,0.0137731313441278
9,0.0112235285580719
10,0.00934550401112746
11,0.00791884948655123
12,0.00680746520030287
13,0.0059233686263415
14,0.00520752857932968
15,0.00461907984070486
16,0.00412896730413768
17,0.00371605087432309
18,0.00336463664619682
19,0.00306286559442462
20,0.00280163454036068
21,0.0025738569318504
22,0.00237394604025886
23,0.00219744701502734
24,0.00204077057960312
25,0.00190099739706737
26,0.00177573238629909
27,0.00166299487809749
28,0.00156113484306399
29,0.00146876832693759
30,0.00138472720261999
31,0.00130801970950621
32,0.00123779920285931
33,0.00117333921042937
34,0.00111401337700406
35,0.00105927922803014
36,0.00100866494011713
37,0.000961758496055632
38,0.000918198743653113
39,0.000877667984334998
40,0.00083988579838992
41,0.000804603875627294
42,0.000771601667885742
43,0.000740682716801837
44,0.000711671539108281
45,0.000684410974398157
46,0.000658759918200532
47,0.000634591377440999
48,0.000611790796725387
49,0.000590254613008478
50,0.000569889003569873
51,0.000550608798184464
52,0.00053233653123139
53,0.00051500161345584
54,0.000498539606357597
55,0.000482891584866597
56,0.00046800357618818
57,0.000453826064545977
58,0.000440313553087832
59,0.000427424175505484
60,0.000415119350996796
61,0.000403363477106295
62,0.000392123655745245
63,0.00038136944834025
64,0.000371072656609259
65,0.00036120712593173
66,0.000351748568679056
67,0.000342674405212878
68,0.000333963620551898
69,0.000325596634959591
70,0.000317555186922208
71,0.000309822227173838
72,0.000302381822587445
73,0.000295219068891477
74,0.000288320011293829
75,0.000281671572201423
76,0.000275261485316509
77,0.000269078235471993
78,0.000263111003639173
79,0.000257349616603665
80,0.00025178450086008
81,0.000246406640324313
82,0.000241207537504822
83,0.000236179177811876
84,0.000231313996716995
85,0.000226604849504254
86,0.000222044983381251
87,0.000217628011740778
88,0.000213347890384872
89,0.000209198895541354
90,0.000205175603519372
91,0.000201272871865162
92,0.000197485821892353
93,0.000193809822472896
94,0.000190240474985284
95,0.000186773599326134
96,0.000183405220899781
97,0.000180131558508154
98,0.000176949013070112
99,0.000173854157105669
100,0.000170843724926128
101,0.000167914603476246
102,0.000165063823779149
103,0.000162288552938874
104,0.000159586086659196
105,0.00015695384224084
106,0.000154389352022256
107,0.000151890257232015
108,0.000149454302223424
109,0.00014707932906431
110,0.0001447632724571
111,0.000142504154966219
112,0.000140300082531658
113,0.000138149240249192
114,0.000136049888399178
115,0.000134000358707293
116,0.000131999050821763
117,0.000130044428992836
118,0.00012813501894125
119,0.000126269404903475
120,0.000124446226842336
121,0.000122664177812502
122,0.00012092200147102
123,0.000119218489723827
124,0.000117552480499748
125,0.000115922855644138
126,0.00011432853892483
127,0.000112768494143564
128,0.000111241723346548
129,0.000109747265128213
130,0.000108284193022636
131,0.000106851613977466
132,0.00010544866690553
133,0.000104074521309608
134,0.000102728375976175
135,0.000101409457734152
136,0.000100117020274996
137,9.88503430306492e-05
138,9.76087301061407e-05
139,9.6391509263783e-05
140,9.51980309561301e-05
141,9.40276674050273e-05
142,9.28798117242451e-05
143,9.17538770833469e-05
144,9.06492959105795e-05
145,8.95655191327098e-05
146,8.85020154498546e-05
147,8.74582706434652e-05
148,8.64337869157388e-05
149,8.54280822588285e-05
150,8.44406898523176e-05
151,8.34711574875147e-05
152,8.25190470172062e-05
153,8.15839338295833e-05
154,8.066540634513e-05
155,7.97630655353302e-05
156,7.88765244621132e-05
157,7.80054078370182e-05
158,7.71493515991144e-05
159,7.63080025107658e-05
160,7.54810177703805e-05
161,7.4668064641328e-05
162,7.38688200962575e-05
163,7.30829704760837e-05
164,7.23102111629533e-05
165,7.15502462665346e-05
166,7.08027883230142e-05
167,7.00675580062095e-05
168,6.93442838502434e-05
169,6.86327019832511e-05
170,6.79325558716185e-05
171,6.7243596074277e-05
172,6.65655800066021e-05
173,6.58982717134887e-05
174,6.52414416511952e-05
175,6.45948664775685e-05
176,6.39583288502844e-05
177,6.33316172327512e-05
178,6.27145257073464e-05
179,6.21068537956682e-05
180,6.15084062855023e-05
181,6.09189930642165e-05
182,6.03384289583113e-05
183,5.97665335788656e-05
184,5.92031311726314e-05
185,5.86480504785402e-05
186,5.81011245893982e-05
187,5.75621908185539e-05
188,5.70310905713359e-05
189,5.65076692210647e-05
190,5.59917759894528e-05
191,5.54832638312161e-05
192,5.49819893227264e-05
193,5.44878125545446e-05
194,5.40005970276782e-05
195,5.35202095534181e-05
196,5.30465201566107e-05
197,5.25794019822334e-05
198,5.21187312051426e-05
199,5.16643869428728e-05
200,5.12162511713667e-05
